model,accuracy,roc_auc
Logistic Regression,0.8115942028985508,0.95
Random Forest,0.9130434782608695,0.9461538461538461
XGBoost,0.9130434782608695,0.9461538461538461
Gradient Boosting,0.8840579710144928,0.9307692307692307
LightGBM,0.8985507246376812,0.9038461538461539
