date,ndvi,max_temp,min_temp,rainfall_mm,bloom
2016-06-25,0.1458,,,,0
2016-07-11,0.0466,,,,0
2016-07-27,0.0384,,,,0
2016-08-12,0.2193,,,,0
2016-08-28,0.0738,,,,0
2016-09-13,0.1573,,,,0
2016-09-29,0.383,,,,0
2016-10-15,0.4634,,,,0
2016-10-31,0.4405,,,,0
2016-11-16,0.4434,,,,0
2016-12-02,0.3139,,,,0
2016-12-18,0.3371,,,,0
2017-01-01,0.3709,,,,0
2017-01-17,0.2933,,,,0
2017-02-02,0.3329,,,,0
2017-02-18,0.3201,,,,0
2017-03-06,0.2904,,,,0
2017-03-22,0.2673,,,,0
2017-04-07,0.2227,,,,0
2017-04-23,0.1543,,,,0
2017-05-09,0.1808,,,,0
2017-05-25,0.2211,,,,0
2017-06-10,0.1682,,,,0
2017-06-26,0.1504,,,,0
2017-07-12,0.0403,,,,0
2017-07-28,0.0186,,,,0
2017-08-13,0.1409,,,,0
2017-08-29,0.6697,,,,0
2017-09-14,0.7968,,,,0
2017-09-30,0.4452,,,,0
2017-10-16,0.5464,,,,0
2017-11-01,0.3772,,,,0
2017-11-17,0.4954,,,,0
2017-12-03,0.6135,,,,0
2017-12-19,0.3224,,,,0
2018-01-01,0.3504,,,,0
2018-01-17,0.2691,,,,0
2018-02-02,0.3846,,,,0
2018-02-18,0.3255,,,,0
2018-03-06,0.4376,,,,0
2018-03-22,0.3587,,,,0
2018-04-07,0.3472,,,,0
2018-04-23,0.3704,,,,0
2018-05-09,0.2318,,,,0
2018-05-25,0.2339,,,,0
2018-06-10,0.2515,,,,0
2018-06-26,0.0786,,,,0
2018-07-12,0.0594,,,,0
2018-07-28,0.13,,,,0
2018-08-13,0.2322,,,,0
2018-08-29,0.2221,,,,0
2018-09-14,0.2518,,,,0
2018-09-30,0.218,,,,0
2018-10-16,0.1941,,,,0
2018-11-01,0.1996,,,,1
2018-11-17,0.1857,,,,1
2018-12-03,0.1955,,,,1
2018-12-19,0.1705,,,,0
2019-01-01,0.1611,,,,0
2019-01-17,0.1713,,,,0
2019-02-02,0.1697,,,,0
2019-02-18,0.1767,,,,0
2019-03-06,0.1663,,,,0
2019-03-22,0.1492,,,,0
2019-04-07,0.1543,,,,0
2019-04-23,0.1879,,,,0
2019-05-09,0.1762,,,,0
2019-05-25,0.168,,,,0
2019-06-10,0.1591,,,,0
2019-06-26,0.0632,,,,0
2019-07-12,0.133,,,,0
2019-07-28,0.0097,,,,0
2019-08-13,,,,,0
2019-08-29,-0.021,,,,0
2019-09-14,0.1641,,,,0
2019-09-30,0.2612,,,,0
2019-10-16,0.4202,,,,0
2019-11-01,0.6334,,,,0
2019-11-17,0.5636,,,,0
2019-12-03,0.3778,,,,0
2019-12-19,0.4436,,,,0
2020-01-01,0.4487,,,,0
2020-01-17,0.3672,,,,0
2020-02-02,0.3917,,,,0
2020-02-18,0.3557,,,,0
2020-03-05,0.3244,,,,0
2020-03-21,0.3791,,,,0
2020-04-06,0.3908,,,,0
2020-04-22,0.3831,,,,0
2020-05-08,0.4056,,,,0
2020-05-24,0.4355,,,,0
2020-06-09,0.3122,,,,0
2020-06-25,0.3378,,,,0
2020-07-11,0.1465,,,,0
2020-07-27,0.316,,,,0
2020-08-12,0.0083,,,,0
2020-08-28,0.0397,,,,0
2020-09-13,0.406,,,,0
2020-09-29,0.4242,,,,0
2020-10-15,0.6072,,,,0
2020-10-31,0.5702,,,,1
2020-11-16,0.606,,,,1
2020-12-02,0.3884,,,,0
2020-12-18,0.4583,,,,0
2021-01-01,0.5326,,,,0
2021-01-17,0.4461,,,,0
2021-02-02,0.4539,,,,0
2021-02-18,0.4271,,,,0
2021-03-06,0.3912,,,,0
2021-03-22,0.4379,,,,0
2021-04-07,0.3804,,,,0
2021-04-23,0.4509,,,,0
2021-05-09,0.4911,,,,0
2021-05-25,0.403,,,,0
2021-06-10,0.4123,,,,0
2021-06-26,0.2111,,,,0
2021-07-12,0.2631,,,,0
2021-07-28,0.1299,,,,0
2021-08-13,0.2637,,,,0
2021-08-29,0.0992,,,,0
2021-09-14,0.2714,,,,0
2021-09-30,0.3308,,,,0
2021-10-16,0.3092,,,,0
2021-11-01,0.4807,,,,0
2021-11-17,0.4871,,,,0
2021-12-03,0.435,,,,0
2021-12-19,0.3616,,,,0
2022-01-01,0.5073,,,,0
2022-01-17,0.4821,,,,0
2022-02-02,0.3875,,,,0
2022-02-18,0.4421,,,,0
2022-03-06,0.4108,,,,0
2022-03-22,0.3709,,,,0
2022-04-07,0.3644,,,,0
2022-04-23,0.3591,,,,0
2022-05-09,0.3267,,,,0
2022-05-25,0.1991,,,,0
2022-06-10,0.2631,,,,0
2022-06-26,0.1493,,,,0
2022-07-12,0.2321,,,,0
2022-07-28,0.0994,,,,0
2022-08-13,0.0981,,,,0
2022-08-29,0.279,,,,0
2022-09-14,0.2765,,,,0
2022-09-30,0.3022,,,,0
2022-10-16,0.2831,,,,0
2022-11-01,0.1626,,,,0
2022-11-17,0.3521,,,,0
2022-12-03,0.4176,,,,0
2022-12-19,0.3444,,,,0
2023-01-01,0.4038,,,,0
2023-01-17,0.3523,,,,0
2023-02-02,0.3125,,,,0
2023-02-18,0.3312,,,,0
2023-03-06,0.3105,,,,0
2023-03-22,0.235,,,,0
2023-04-07,0.2192,,,,0
2023-04-23,0.2576,,,,0
2023-05-09,0.2106,,,,0
2023-05-25,0.1958,,,,0
2023-06-10,0.2007,,,,0
2023-06-26,0.0352,,,,0
2023-07-12,0.0188,,,,0
2023-07-28,0.0215,,,,0
2023-08-13,0.04,,,,0
2023-08-29,0.3435,,,,0
2023-09-14,0.243,,,,0
2023-09-30,0.3552,,,,0
2023-10-16,0.3622,,,,0
2023-11-01,0.4458,,,,0
2023-11-17,0.4521,,,,0
2023-12-03,0.3551,,,,0
2023-12-19,0.1962,,,,0
2024-01-01,0.204,,,,0
2024-01-17,0.2048,,,,0
2024-02-02,0.2596,,,,0
2024-02-18,0.3208,,,,0
2024-03-05,0.2635,,,,0
2024-03-21,0.2674,,,,0
2024-04-06,0.3074,,,,0
2024-04-22,0.3373,,,,0
2024-05-08,0.343,,,,0
2024-05-24,0.2148,,,,0
2024-06-09,0.2561,,,,0
2024-06-25,0.2496,,,,0
2024-07-11,0.2832,,,,0
2024-07-27,0.0413,,,,0
2024-08-12,-0.015,,,,0
2024-08-28,-0.0734,,,,0
2024-09-13,-0.0344,,,,0
2024-09-29,0.1072,,,,0
2024-10-15,0.253,,,,0
2024-10-31,0.2362,,,,0
2024-11-16,0.5277,,,,0
2024-12-02,0.3449,,,,0
2024-12-18,0.3508,,,,0
