State,District,Date,Year,Month,Avg_rainfall,Agency_name
Gujarat,Surendranagar,13-11-2018,2018,11,0,NRSC VIC MODEL
Gujarat,Surendranagar,14-11-2018,2018,11,0,NRSC VIC MODEL
Gujarat,Surendranagar,16-11-2018,2018,11,0,NRSC VIC MODEL
Gujarat,Surendranagar,21-11-2018,2018,11,0,NRSC VIC MODEL
Gujarat,Surendranagar,22-11-2018,2018,11,0,NRSC VIC MODEL
Gujarat,Surendranagar,23-11-2018,2018,11,0,NRSC VIC MODEL
Gujarat,Surendranagar,04-12-2018,2018,12,0,NRSC VIC MODEL
Gujarat,Surendranagar,05-12-2018,2018,12,0,NRSC VIC MODEL
Gujarat,Surendranagar,10-12-2018,2018,12,0,NRSC VIC MODEL
Gujarat,Surendranagar,11-12-2018,2018,12,0,NRSC VIC MODEL
Gujarat,Surendranagar,12-12-2018,2018,12,0,NRSC VIC MODEL
Gujarat,Surendranagar,19-12-2018,2018,12,0,NRSC VIC MODEL
Gujarat,Surendranagar,15-12-2018,2018,12,0,NRSC VIC MODEL
Gujarat,Surendranagar,30-12-2018,2018,12,0,NRSC VIC MODEL
Gujarat,Surendranagar,29-12-2018,2018,12,0,NRSC VIC MODEL
Gujarat,Surendranagar,26-07-2018,2018,7,0.221164583,NRSC VIC MODEL
Gujarat,Surendranagar,04-08-2018,2018,8,0,NRSC VIC MODEL
Gujarat,Surendranagar,06-08-2018,2018,8,0.060053096,NRSC VIC MODEL
Gujarat,Surendranagar,13-08-2018,2018,8,0,NRSC VIC MODEL
Gujarat,Surendranagar,14-08-2018,2018,8,0.243775906,NRSC VIC MODEL
Gujarat,Surendranagar,04-09-2018,2018,9,0.013693221,NRSC VIC MODEL
Gujarat,Surendranagar,09-09-2018,2018,9,0.996382498,NRSC VIC MODEL
Gujarat,Surendranagar,12-09-2018,2018,9,0,NRSC VIC MODEL
Gujarat,Surendranagar,15-09-2018,2018,9,0,NRSC VIC MODEL
Gujarat,Surendranagar,25-07-2018,2018,7,0.861532621,NRSC VIC MODEL
Gujarat,Surendranagar,28-07-2018,2018,7,0,NRSC VIC MODEL
Gujarat,Surendranagar,08-08-2018,2018,8,3.399098188,NRSC VIC MODEL
Gujarat,Surendranagar,09-08-2018,2018,8,3.860413179,NRSC VIC MODEL
Gujarat,Surendranagar,12-08-2018,2018,8,0,NRSC VIC MODEL
Gujarat,Surendranagar,16-08-2018,2018,8,3.411610799,NRSC VIC MODEL
Gujarat,Surendranagar,15-08-2018,2018,8,0.033624156,NRSC VIC MODEL
Gujarat,Surendranagar,22-08-2018,2018,8,13.09847574,NRSC VIC MODEL
Gujarat,Surendranagar,01-09-2018,2018,9,2.361930403,NRSC VIC MODEL
Gujarat,Surendranagar,19-09-2018,2018,9,0.005865867,NRSC VIC MODEL
Gujarat,Surendranagar,28-09-2018,2018,9,0,NRSC VIC MODEL
Gujarat,Surendranagar,10-10-2018,2018,10,0,NRSC VIC MODEL
Gujarat,Surendranagar,13-10-2018,2018,10,0,NRSC VIC MODEL
Gujarat,Surendranagar,14-10-2018,2018,10,0,NRSC VIC MODEL
Gujarat,Surendranagar,08-10-2018,2018,10,0.015053557,NRSC VIC MODEL
Gujarat,Surendranagar,15-10-2018,2018,10,0,NRSC VIC MODEL
Gujarat,Surendranagar,17-10-2018,2018,10,0,NRSC VIC MODEL
Gujarat,Surendranagar,27-10-2018,2018,10,0,NRSC VIC MODEL
Gujarat,Surendranagar,04-11-2018,2018,11,0,NRSC VIC MODEL
Gujarat,Surendranagar,08-11-2018,2018,11,0,NRSC VIC MODEL
Gujarat,Surendranagar,12-11-2018,2018,11,0,NRSC VIC MODEL
Gujarat,Surendranagar,20-11-2018,2018,11,0,NRSC VIC MODEL
Gujarat,Surendranagar,17-11-2018,2018,11,0,NRSC VIC MODEL
Gujarat,Surendranagar,26-11-2018,2018,11,0,NRSC VIC MODEL
Gujarat,Surendranagar,27-11-2018,2018,11,0,NRSC VIC MODEL
Gujarat,Surendranagar,02-12-2018,2018,12,0,NRSC VIC MODEL
Gujarat,Surendranagar,09-12-2018,2018,12,0,NRSC VIC MODEL
Gujarat,Surendranagar,20-12-2018,2018,12,0,NRSC VIC MODEL
Gujarat,Surendranagar,23-12-2018,2018,12,0,NRSC VIC MODEL
Gujarat,Surendranagar,20-09-2018,2018,9,0,NRSC VIC MODEL
Gujarat,Surendranagar,21-09-2018,2018,9,0.016401498,NRSC VIC MODEL
Gujarat,Surendranagar,07-10-2018,2018,10,0,NRSC VIC MODEL
Gujarat,Surendranagar,06-10-2018,2018,10,0,NRSC VIC MODEL
Gujarat,Surendranagar,16-10-2018,2018,10,0,NRSC VIC MODEL
Gujarat,Surendranagar,21-10-2018,2018,10,0,NRSC VIC MODEL
Gujarat,Surendranagar,22-10-2018,2018,10,0,NRSC VIC MODEL
Gujarat,Surendranagar,01-11-2018,2018,11,0,NRSC VIC MODEL
Gujarat,Surendranagar,11-11-2018,2018,11,0,NRSC VIC MODEL
Gujarat,Surendranagar,15-11-2018,2018,11,0,NRSC VIC MODEL
Gujarat,Surendranagar,19-11-2018,2018,11,0,NRSC VIC MODEL
Gujarat,Surendranagar,30-11-2018,2018,11,0,NRSC VIC MODEL
Gujarat,Surendranagar,01-12-2018,2018,12,0,NRSC VIC MODEL
Gujarat,Surendranagar,03-12-2018,2018,12,0,NRSC VIC MODEL
Gujarat,Surendranagar,07-12-2018,2018,12,0,NRSC VIC MODEL
Gujarat,Surendranagar,13-12-2018,2018,12,0,NRSC VIC MODEL
Gujarat,Surendranagar,16-12-2018,2018,12,0.703606613,NRSC VIC MODEL
Gujarat,Surendranagar,25-12-2018,2018,12,0,NRSC VIC MODEL
Gujarat,Surendranagar,29-07-2018,2018,7,0,NRSC VIC MODEL
Gujarat,Surendranagar,31-07-2018,2018,7,0.207080923,NRSC VIC MODEL
Gujarat,Surendranagar,02-08-2018,2018,8,0,NRSC VIC MODEL
Gujarat,Surendranagar,21-08-2018,2018,8,24.12180714,NRSC VIC MODEL
Gujarat,Surendranagar,25-08-2018,2018,8,1.753987318,NRSC VIC MODEL
Gujarat,Surendranagar,26-08-2018,2018,8,5.866109114,NRSC VIC MODEL
Gujarat,Surendranagar,31-08-2018,2018,8,3.342493961,NRSC VIC MODEL
Gujarat,Surendranagar,30-08-2018,2018,8,0.049316049,NRSC VIC MODEL
Gujarat,Surendranagar,08-09-2018,2018,9,0.428260999,NRSC VIC MODEL
Gujarat,Surendranagar,11-09-2018,2018,9,0.086999521,NRSC VIC MODEL
Gujarat,Surendranagar,14-09-2018,2018,9,0,NRSC VIC MODEL
