Sl. No.,District,2014 - ANNUAL AVERAGE RAINFALL ,2015 - ANNUAL AVERAGE RAINFALL ,2016 - ANNUAL AVERAGE RAINFALL ,2017 - ANNUAL AVERAGE RAINFALL ,2018 - ANNUAL AVERAGE RAINFALL ,2019 - ANNUAL AVERAGE RAINFALL ,2020 - ANNUAL AVERAGE RAINFALL ,2021 - ANNUAL AVERAGE RAINFALL ,2022 - ANNUAL AVERAGE RAINFALL ,2023 - ANNUAL AVERAGE RAINFALL 
1,Surendranagar,672,444,356,856,247,974,866,497,518,558
Total,Total,672,444,356,856,247,974,866,497,518,558
