date,ndvi,max_temp,min_temp,rainfall_mm,bloom,ndvi_growth,ndvi_volatility,temp_avg_7d,heat_wave,rain_cum_30d
2010-01-01,0.2832,34.72166697166667,22.08916688,,0,-0.018600000000000005,0.03253444328707655,32.91083367583334,1,
2010-01-17,0.2646,31.10000038,15.92000008,,0,-0.018600000000000005,0.03253444328707655,32.91083367583334,1,
2010-02-02,0.2199,34.97181840454545,22.70818172909091,,0,-0.04469999999999999,0.03253444328707655,33.03590939227273,1,
2010-02-18,0.1937,34.541999436000005,20.98600006,,0,-0.0262,0.0358500116224993,34.75690892027273,1,
2010-03-06,0.186,33.97714287857143,22.82571411142857,,0,-0.007700000000000012,0.0177714190016818,34.25957115728571,1,
2010-03-22,0.1899,35.30166657666667,21.73666699833333,,0,0.0039000000000000146,0.0038501082235876424,34.639404727619045,1,
2010-04-07,0.1926,32.52000045666667,22.343333245,,0,0.00269999999999998,0.003318132004607988,33.91083351666667,1,
2010-04-23,0.1827,34.743750095,21.9462497225,,0,-0.009899999999999992,0.005117616632769971,33.63187527583334,1,
2010-05-09,0.1827,33.9349994625,21.657500265,,0,0.0,0.005715767664977633,34.33937477875,1,
2010-05-25,0.2356,34.72666698,22.654444268888888,,0,0.0529,0.03054182924013127,34.330833221249996,1,
2010-06-10,0.1943,34.52999878,20.38666725333333,,0,-0.0413,0.027804855691047993,34.628332879999995,1,
2010-06-26,0.2031,34.87909091636364,22.18909073,,0,0.008800000000000002,0.021753850233924205,34.70454484818181,1,
2010-07-12,0.1895,28.77000046,15.64000034,,0,-0.013600000000000001,0.006897342483401636,31.824545688181814,0,
2010-07-28,0.0373,34.24499988583333,21.728333235,,0,-0.1522,0.09205020369341939,31.50750017291666,1,
2010-08-13,0.1554,34.104166507500004,22.32416685333333,,0,0.11810000000000001,0.07986995680479612,32.304166715,0,
2010-08-29,0.062,34.104166507500004,22.32416685333333,,0,-0.09340000000000001,0.06229133166019167,32.304166715,1,
2010-09-14,0.4709,34.06500037583333,21.7758335275,,0,0.4089,0.21426736413493616,32.304166715,0,
2010-09-30,0.5214,34.06500037583333,21.7758335275,,0,0.05049999999999999,0.2519251939233814,32.304166715,1,
2010-10-16,0.5073,34.343333085000005,21.854166508333336,,0,-0.014100000000000001,0.02605769240230879,32.304166715,0,
2010-11-01,0.6071,34.343333085000005,21.854166508333336,,1,0.0998,0.05401132597273779,32.304166715,1,
2010-11-17,0.5262,30.265000345,15.554999825,,1,-0.08089999999999997,0.05301267144120677,32.304166715,1,
2010-12-03,0.2909,35.393000223,23.267999935,,0,-0.2353,0.1642626656709715,32.829000284,1,
2010-12-19,0.3136,30.976666133333328,13.826666833,,0,0.022699999999999998,0.129794799587657,33.18483317816666,1,
2011-01-01,0.3143,,,,0,0.0007000000000000339,0.013312525430337981,,0,
2011-01-17,0.3351,,,,0,0.020799999999999985,0.012215973149940157,,0,
2011-02-02,0.344,,,,0,0.008899999999999963,0.015242156452857638,,0,
2011-02-18,0.3097,,,,0,-0.0343,0.01779915728342378,,0,
2011-03-06,0.3714,,,,0,0.06170000000000003,0.030914236202760306,,0,
2011-03-22,0.3925,,,,0,0.021100000000000008,0.0430270070227222,,0,
2011-04-07,0.3768,,,,0,-0.015699999999999992,0.010960991439344158,,0,
2011-04-23,0.4173,,,,0,0.04049999999999998,0.020419680049730698,,0,
2011-05-09,0.3143,,,,0,-0.10299999999999998,0.05189010824168106,,0,
2011-05-25,0.2509,,,,0,-0.06340000000000001,0.08398166466556883,,0,
2011-06-10,0.1879,,,,0,-0.063,0.06320010548514454,,0,
2011-06-26,0.165,,,,0,-0.022900000000000004,0.04448261832821222,,0,
2011-07-12,0.1188,,,,0,-0.046200000000000005,0.035198626867157835,,0,
2011-07-28,0.1398,,,,0,0.021000000000000005,0.0231317962986032,,0,
2011-08-13,0.2147,,,,0,0.0749,0.05041134131654706,,0,
2011-08-29,0.6588,,,,0,0.44410000000000005,0.2805339611051279,,0,
2011-09-14,0.6573,,,,0,-0.0015000000000000568,0.25596934061198306,,0,
2011-09-30,0.6311,,,,0,-0.0262,0.015577654936907529,,0,
2011-10-16,0.6208,,,,0,-0.010299999999999976,0.018818342116138403,,0,
2011-11-01,0.6271,,,,0,0.006299999999999972,0.005192622972387279,,0,
2011-11-17,0.5559,,,,0,-0.07120000000000004,0.03941476034854674,,0,
2011-12-03,0.4888,,,,0,-0.06709999999999994,0.06916012820500975,,0,
2011-12-19,0.3926,,,,0,-0.09620000000000001,0.08208099658264441,,0,
2012-01-01,0.3894,,,,0,-0.0031999999999999806,0.056487520745737374,,0,
2012-01-17,0.3072,,,,0,-0.08220000000000005,0.0484084014746766,,0,
2012-02-02,0.3189,,,,0,0.011700000000000044,0.044467178907595974,,0,
2012-02-18,0.3306,,,,0,0.011699999999999988,0.011700000000006594,,0,
2012-03-05,0.3511,,,,0,0.020500000000000018,0.016299181983568438,,0,
2012-03-21,0.3357,,,,0,-0.015400000000000025,0.010672550460573143,,0,
2012-04-06,0.4137,,,,0,0.07800000000000001,0.041311660984926175,,0,
2012-04-22,0.4096,,,,0,-0.0040999999999999925,0.04389764610242179,,0,
2012-05-08,0.3374,,,,0,-0.07220000000000004,0.04291724595078457,,0,
2012-05-24,0.3526,,,,0,0.015200000000000047,0.038063280643337506,,0,
2012-06-09,0.2847,,,,0,-0.06790000000000002,0.03563411286955448,,0,
2012-06-25,0.1923,,,,0,-0.09240000000000001,0.08046144004014279,,0,
2012-07-11,0.1153,,,,0,-0.077,0.084816586428207,,0,
