Date,Rain,Temp Max,Temp Min,Location,Rain,Temp Max,Temp Min,Location
16-03-2010,0,37.81000137,19.36000061,,0,39.47000122,21.45000076,
17-03-2010,0,38.66999817,19.78000069,,0,39.41999817,21.54999924,
18-03-2010,0,41.00999832,21.29000092,,0,42.47000122,22.62999916,
19-03-2010,0,41.31999969,21.76000023,,0,42.54000092,23.47999954,
20-03-2010,0,40.56999969,20.95000076,,0,41.84999847,22.93000031,
21-03-2010,0,39.75999832,21.06999969,,0,41.06999969,22.88999939,
22-03-2010,0,38.06000137,20.57999992,,0,39.40000153,22.15999985,
23-03-2010,0,37.27999878,19.17000008,,0,38.25999832,20.89999962,
24-03-2010,0,36.18000031,19.93000031,,0,37.49000168,21.28000069,
25-03-2010,0,36.63999939,21.15999985,,0,38.06999969,22.87000084,
26-03-2010,0,36.06000137,21.14999962,,0,37.40000153,22.92000008,
27-03-2010,0,36.43000031,20.37000084,,0,37.95999908,22.03000069,
28-03-2010,0,37.79999924,20.02000046,,0,39.29000092,21.95999908,
29-03-2010,0,37.34000015,20.52000046,,0,38.54999924,22.03000069,
30-03-2010,0,37.63000107,20.40999985,,0,38.88999939,22.12000084,
31-03-2010,0,35.74000168,22.19000053,,0,37.00999832,23.94000053,
01-04-2010,0,36.61999893,22.03000069,,0,37.56000137,23.71999931,
02-04-2010,0,37.31000137,21.72999954,,0,38.47000122,23.34000015,
03-04-2010,0,36.15999985,20.03000069,,0,37.36999893,21.85000038,
04-04-2010,0,37.56999969,20.09000015,,0,38.65999985,21.90999985,
05-04-2010,0,38.72999954,20.78000069,,0,39.70000076,21.97999954,
06-04-2010,0,40.04000092,21.25,,0,40.90000153,22.61000061,
07-04-2010,0,41.5,21.97999954,,0,42.58000183,23.29999924,
08-04-2010,0,40.68999863,23.38999939,,0,41.88999939,25.09000015,
09-04-2010,0,39.18000031,23.67000008,,0,40.22000122,25.37000084,
10-04-2010,0,38.95000076,22.54000092,,0,40.20999908,24.42000008,
11-04-2010,0,39.06999969,21.78000069,,0,40.02000046,23.43000031,
12-04-2010,0,40.27999878,23.04000092,,0,40.93000031,24.35000038,
13-04-2010,0,40.47999954,23.55999947,,0,40.72000122,24.82999992,
14-04-2010,0,41.16999817,23.64999962,,0,41.77999878,25.22999954,
15-04-2010,0,41.70999908,23.62999916,,0,41.81999969,25.10000038,
16-04-2010,0,42.81999969,24.84000015,,0,43.04000092,25.70000076,
17-04-2010,0,40.99000168,24.88999939,,0,41.59000015,26.04999924,
18-04-2010,0,40.63999939,24.90999985,,0,41.11999893,25.95000076,
19-04-2010,0,39.52000046,24.76000023,,0,40.27000046,25.70999908,
20-04-2010,0,39.40999985,24.36000061,,0,40.06000137,25.61000061,
21-04-2010,0,38.88000107,24.80999947,,0,39.74000168,25.97999954,
22-04-2010,0,38.88999939,24.09000015,,0,39.43999863,25.31999969,
23-04-2010,0,40.50999832,23.29999924,,0,41.25,24.56999969,
24-04-2010,0,40.56000137,23.71999931,,0,41.24000168,25,
25-04-2010,0,40.77999878,24.07999992,,0,41.25,25.26000023,
26-04-2010,0,40.02000046,25.07999992,,0,40.66999817,25.89999962,
27-04-2010,0,41.08000183,25.29999924,,0,41.40000153,25.80999947,
28-04-2010,0,41.40000153,25.92000008,,0,41.59999847,26.30999947,
29-04-2010,0,41.13000107,25.82999992,,0,41.56000137,26.32999992,
30-04-2010,0,40.15999985,25.18000031,,0,40.45000076,26.01000023,
01-05-2010,0,40.49000168,25.10000038,,0,40.79000092,26.27000046,
02-05-2010,0,41.5,26.10000038,,0,41.68000031,27.11000061,
03-05-2010,0,40.86999893,26.90999985,,0,41.13000107,27.26000023,
04-05-2010,0,40.16999817,26.79000092,,0,40.33000183,27.45000076,
05-05-2010,0,40.47000122,25.38999939,,0,40.88000107,26.54000092,
06-05-2010,0,40.54999924,25.73999977,,0,41.09000015,26.79999924,
07-05-2010,0,41.22999954,26.05999947,,0,41.59000015,27.07999992,
08-05-2010,0,41.20000076,26.20000076,,0,41.38000107,26.96999931,
09-05-2010,0,41.20000076,26.96999931,,0,41.47999954,27.81999969,
10-05-2010,0,41.25999832,25.53000069,,0,41.54999924,26.35000038,
11-05-2010,0,41.63999939,24.70000076,,0,41.81999969,25.64999962,
12-05-2010,0,42.63999939,25.53000069,,0,42.54000092,26.29999924,
13-05-2010,0,42.11999893,27.40999985,,0,41.77000046,27.37999916,
14-05-2010,0,42.09000015,26.5,,0,41.86999893,27.36000061,
15-05-2010,0,40.81999969,26.62999916,,0,41.04000092,27.10000038,
16-05-2010,0,41.75,26.76000023,,0,41.45000076,27.39999962,
17-05-2010,0,42.04999924,26.95999908,,0,41.72999954,27.72999954,
18-05-2010,0,42.84000015,26.40999985,,0,42.91999817,27.21999931,
19-05-2010,0,44.16999817,26.75,,0,43.84999847,27.62000084,
20-05-2010,0,44.09000015,28.51000023,,0,43.72000122,28.79000092,
21-05-2010,0,44.15999985,28.57999992,,0,43.68000031,28.92000008,
22-05-2010,0,43.70000076,28.31999969,,0,43.31000137,28.71999931,
23-05-2010,0,43.43999863,28.57999992,,0,43.49000168,28.81999969,
24-05-2010,0,43.36000061,27.62000084,,0,43.15000153,28.22999954,
25-05-2010,0,41.70999908,27.55999947,,0,41.74000168,28.19000053,
26-05-2010,0,40.72999954,27.36000061,,0,40.52000046,28.29000092,
27-05-2010,0,41.04999924,27.35000038,,0,40.93000031,28.34000015,
28-05-2010,0,41.06999969,27.22999954,,0,41.13000107,28.04000092,
29-05-2010,0,40.49000168,26.44000053,,0,40.65000153,27.53000069,
30-05-2010,0,39.97000122,26.39999962,,0,40.11000061,27.46999931,
31-05-2010,0,40.72999954,26.5,,0,40.70000076,27.56999969,
01-06-2010,0,39.75,26.84000015,,0,40.13999939,28.12000084,
02-06-2010,0,37.68999863,27.34000015,,0,38.40000153,28.48999977,
03-06-2010,1.084825397,38.40999985,24.96999931,,0,38.83000183,25.89999962,
04-06-2010,0,38.49000168,26.59000015,,0,38.66999817,27.76000023,
05-06-2010,0,38.65000153,26.98999977,,2.455375433,38.81999969,27.85000038,
06-06-2010,0,36.38999939,27.02000046,,0,37.11000061,27.95000076,
07-06-2010,29.85303307,31.65999985,23.30999947,,0,34.16999817,24.52000046,
08-06-2010,14.47736168,36.59999847,23.12999916,,29.47562599,37.13999939,24.54000092,
09-06-2010,0,38.09999847,25.54000092,,0,38.22999954,26.60000038,
10-06-2010,0,39.86000061,25.54999924,,0,39.74000168,26.77000046,
11-06-2010,4.762103081,41.59000015,27.82999992,,0,41.34999847,28.64999962,
12-06-2010,0,41.86000061,28.05999947,,0,41.40999985,28.5,
13-06-2010,0,41.61000061,28.72999954,,0,41.20999908,29.71999931,
14-06-2010,0,39.68999863,27.75,,0,39.56000137,28.68000031,
15-06-2010,0,34.09000015,26.69000053,,0,34.02999878,27.39999962,
16-06-2010,1.539189577,35.45000076,25.20999908,,0.602833271,35.34999847,25.76000023,
17-06-2010,6.520837307,36.93999863,24.43000031,,0,36.95000076,25.60000038,
18-06-2010,0,39.77999878,26.55999947,,0,39.50999832,27.45000076,
19-06-2010,0,41.34000015,26.53000069,,0,40.81000137,27.36000061,
20-06-2010,0,40.25999832,27.07999992,,0,39.36999893,28.04000092,
21-06-2010,0,38.97000122,27.28000069,,0,38.54000092,27.59000015,
22-06-2010,0,38.31999969,27.11000061,,0,38.15000153,28.21999931,
23-06-2010,0,37.75,27.12999916,,0,37.59999847,28.28000069,
24-06-2010,0,35.95999908,26.55999947,,0,35.27999878,27.63999939,
25-06-2010,0,36.81000137,26.46999931,,0,36.58000183,27.54999924,
26-06-2010,0,38.02000046,25.75,,0,37.75,26.85000038,
27-06-2010,29.88170815,38.75,25.78000069,,0,38.40000153,26.80999947,
28-06-2010,0,37.86000061,26.36000061,,0,37.45000076,27.39999962,
