date,ndvi,max_temp,rainfall_mm,month,bloom,risk_score,geometry
2013-03-06,0.2257,28.51999982,0.0,3,0,0.4,POINT (72.05 22.77)
2013-03-22,0.4041,28.51999982,0.0,3,0,0.8,POINT (72.05 22.77)
2013-04-07,0.3907,28.51999982,0.0,4,0,0.4,POINT (72.05 22.77)
2013-04-23,0.3863,28.51999982,0.0,4,0,0.4,POINT (72.05 22.77)
2013-05-09,0.2843,28.51999982,0.0,5,0,0.4,POINT (72.05 22.77)
2013-05-25,0.281,28.51999982,0.0,5,0,0.4,POINT (72.05 22.77)
2013-06-10,0.2366,28.51999982,0.0,6,0,0.4,POINT (72.05 22.77)
2013-06-26,0.0767,28.51999982,0.0,6,0,0.4,POINT (72.05 22.77)
2013-07-12,0.0489,28.51999982,0.0,7,0,0.4,POINT (72.05 22.77)
2013-07-28,0.0956,28.51999982,0.0,7,0,0.4,POINT (72.05 22.77)
2013-08-13,0.0947,28.51999982,0.0,8,0,0.4,POINT (72.05 22.77)
2013-08-29,0.5278,28.51999982,0.0,8,0,0.8,POINT (72.05 22.77)
2013-09-14,0.4927,28.51999982,0.0,9,0,0.8,POINT (72.05 22.77)
2013-09-30,0.6361,28.51999982,0.0,9,0,0.8,POINT (72.05 22.77)
2013-10-16,0.5207,28.51999982,0.0,10,1,0.8,POINT (72.05 22.77)
2013-11-01,0.562,28.51999982,0.0,11,1,0.8,POINT (72.05 22.77)
2013-11-17,0.526,28.51999982,0.0,11,1,0.8,POINT (72.05 22.77)
2013-12-03,0.4354,28.51999982,0.0,12,1,0.8,POINT (72.05 22.77)
2013-12-19,0.3446,28.51999982,0.0,12,0,0.4,POINT (72.05 22.77)
2014-01-01,0.2892,28.51999982,0.0,1,0,0.4,POINT (72.05 22.77)
2014-01-17,0.2326,28.51999982,0.0,1,0,0.4,POINT (72.05 22.77)
2014-02-02,0.3603,28.51999982,0.0,2,0,0.4,POINT (72.05 22.77)
2014-02-18,0.2825,28.51999982,0.0,2,0,0.4,POINT (72.05 22.77)
2014-03-06,0.3054,28.51999982,0.0,3,0,0.4,POINT (72.05 22.77)
2014-03-22,0.3368,28.51999982,0.0,3,0,0.4,POINT (72.05 22.77)
2014-04-07,0.3529,28.51999982,0.0,4,0,0.4,POINT (72.05 22.77)
2014-04-23,0.3627,28.51999982,0.0,4,0,0.4,POINT (72.05 22.77)
2014-05-09,0.4068,28.51999982,0.0,5,0,0.8,POINT (72.05 22.77)
