date,ndvi,max_temp,rainfall_mm,month,bloom,risk_score,geometry,ndvi_lag1,ndvi_lag2,ndvi_lag3,ndvi_lag4,max_temp_lag1,max_temp_lag2,max_temp_lag3,max_temp_lag4,rainfall_mm_lag1,rainfall_mm_lag2,rainfall_mm_lag3,rainfall_mm_lag4,ndvi_roll_mean_2,ndvi_roll_std_2,ndvi_roll_mean_4,ndvi_roll_std_4,ndvi_roll_mean_8,ndvi_roll_std_8,max_temp_roll_mean_2,max_temp_roll_std_2,max_temp_roll_mean_4,max_temp_roll_std_4,max_temp_roll_mean_8,max_temp_roll_std_8,rainfall_mm_roll_mean_2,rainfall_mm_roll_std_2,rainfall_mm_roll_mean_4,rainfall_mm_roll_std_4,rainfall_mm_roll_mean_8,rainfall_mm_roll_std_8,year,quarter,day_of_year,month_sin,month_cos,day_sin,day_cos,temp_ndvi_interaction,temp_rainfall_interaction,ndvi_rainfall_interaction,cumulative_rain_2periods,cumulative_rain_4periods,ndvi_change,ndvi_pct_change,max_temp_change,max_temp_pct_change,rainfall_mm_change,rainfall_mm_pct_change,bloom_next_1,bloom_next_2,bloom_next_4,risk_next_1,risk_next_2
2010-01-01,0.2832,33.434166430833336,0.0,1,0,0.4,POINT (72.05 22.77),0.2832,0.2832,0.2832,0.2832,33.434166430833336,33.434166430833336,33.434166430833336,33.434166430833336,0.0,0.0,0.0,0.0,0.2832,0.013152186130069807,0.2832,0.013152186130069807,0.2832,0.013152186130069807,33.434166430833336,3.9061756497113573,33.434166430833336,3.9061756497113573,33.434166430833336,3.9061756497113573,0.0,0.0,0.0,0.0,0.0,0.0,2010,1,1,0.49999999999999994,0.8660254037844387,0.017213356155834685,0.9998518392091162,9.468555933212,0.0,0.0,0.0,0.0,-0.018600000000000005,-0.06567796610169496,-5.524166580833338,-0.16522519238699773,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2010-01-17,0.2646,27.90999985,0.0,1,0,0.4,POINT (72.05 22.77),0.2832,0.2832,0.2832,0.2832,33.434166430833336,33.434166430833336,33.434166430833336,33.434166430833336,0.0,0.0,0.0,0.0,0.27390000000000003,0.013152186130069807,0.27390000000000003,0.013152186130069807,0.27390000000000003,0.013152186130069807,30.672083140416667,3.9061756497113573,30.672083140416667,3.9061756497113573,30.672083140416667,3.9061756497113573,0.0,0.0,0.0,0.0,0.0,0.0,2010,1,17,0.49999999999999994,0.8660254037844387,0.288482432880609,0.9574851883550393,7.38498596031,0.0,0.0,0.0,0.0,-0.018600000000000005,-0.06567796610169496,-5.524166580833338,-0.16522519238699773,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2010-02-02,0.2199,33.74636372545455,0.0,2,0,0.4,POINT (72.05 22.77),0.2646,0.2832,0.2832,0.2832,27.90999985,33.434166430833336,33.434166430833336,33.434166430833336,0.0,0.0,0.0,0.0,0.24225000000000002,0.03160767311903872,0.2559,0.03253444328707655,0.2559,0.03253444328707655,30.828181787727274,4.126932473806113,31.696843335429293,3.2832155693840646,31.696843335429293,3.2832155693840646,0.0,0.0,0.0,0.0,0.0,0.0,2010,1,33,0.8660254037844386,0.5000000000000001,0.5380051715382996,0.8429415373547828,7.420825383227456,0.0,0.0,0.0,0.0,-0.04469999999999999,-0.1689342403628118,5.836363875454552,0.20911371934151246,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2010-02-18,0.1937,32.921999740000004,0.0,2,0,0.4,POINT (72.05 22.77),0.2199,0.2646,0.2832,0.2832,33.74636372545455,27.90999985,33.434166430833336,33.434166430833336,0.0,0.0,0.0,0.0,0.2068,0.0185261976670877,0.24035,0.04090073348975542,0.24035,0.04090073348975542,33.334181732727274,0.5829133642808756,32.003132436571974,2.7498342442068107,32.003132436571974,2.7498342442068107,0.0,0.0,0.0,0.0,0.0,0.0,2010,1,49,0.8660254037844386,0.5000000000000001,0.7469720876965552,0.6648553979642865,6.3769913496380015,0.0,0.0,0.0,0.0,-0.0262,-0.11914506593906316,-0.8243639854545464,-0.024428231502546693,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2010-03-06,0.186,32.90428597571428,0.0,3,0,0.4,POINT (72.05 22.77),0.1937,0.2199,0.2646,0.2832,32.921999740000004,33.74636372545455,27.90999985,33.434166430833336,0.0,0.0,0.0,0.0,0.18985000000000002,0.005444722215137106,0.21605000000000002,0.03547041020343577,0.22948,0.04295854978930272,32.91314285785714,0.01252552284641763,31.87066232279221,2.6695062712066626,32.18336314440044,2.415286073776991,0.0,0.0,0.0,0.0,0.0,0.0,2010,1,65,1.0,6.123233995736766e-17,0.8996308696522433,0.43665123195606403,6.120197191482856,0.0,0.0,0.0,0.0,-0.007700000000000012,-0.039752194114610284,-0.017713764285723244,-0.0005380525006262182,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2010-03-22,0.1899,34.089999835,0.0,3,0,0.4,POINT (72.05 22.77),0.186,0.1937,0.2199,0.2646,32.90428597571428,32.921999740000004,33.74636372545455,27.90999985,0.0,0.0,0.0,0.0,0.18795,0.00275771644662892,0.19737500000000002,0.015342180418701898,0.22288333333333332,0.04168267825688109,33.49714290535714,0.8384263104478038,33.41566231904221,0.5970212201960747,32.50113592616703,2.2962497032193454,0.0,0.0,0.0,0.0,0.0,0.0,2010,1,81,1.0,6.123233995736766e-17,0.9844738167520922,0.1755314904214282,6.4736909686665,0.0,0.0,0.0,0.0,0.0039000000000000146,0.020967741935483897,1.1857138592857197,0.03603524052036455,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2010-04-07,0.1926,31.259999911666668,0.0,4,0,0.4,POINT (72.05 22.77),0.1899,0.186,0.1937,0.2199,34.089999835,32.90428597571428,32.921999740000004,33.74636372545455,0.0,0.0,0.0,0.0,0.19125,0.0019091883092056492,0.19055,0.003427827300200465,0.21855714285714287,0.03973515895454374,32.674999873333334,2.0011121365464084,32.79407136559524,1.1635174762809841,32.32383078123841,2.148029030810857,0.0,0.0,0.0,0.0,0.0,0.0,2010,2,97,0.8660254037844387,-0.4999999999999998,0.9951053111006976,-0.09882013873287143,6.020675982987,0.0,0.0,0.0,0.0,0.00269999999999998,0.0142180094786728,-2.8299999233333324,-0.08301554523411259,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2010-04-23,0.1827,33.60625052375,0.0,4,0,0.4,POINT (72.05 22.77),0.1926,0.1899,0.186,0.1937,31.259999911666668,34.089999835,32.90428597571428,32.921999740000004,0.0,0.0,0.0,0.0,0.18764999999999998,0.007000357133747347,0.1878,0.004347413023856781,0.21407500000000002,0.0389107311676355,32.43312521770834,1.6590497181672081,32.96513406153274,1.2365999467668476,32.484133249052356,2.0397197864175554,0.0,0.0,0.0,0.0,0.0,0.0,2010,2,113,0.8660254037844387,-0.4999999999999998,0.9307239310379795,-0.36572252349726897,6.139861970689125,0.0,0.0,0.0,0.0,-0.009899999999999992,-0.051401869158878455,2.346250612083331,0.07505600187822381,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2010-05-09,0.1827,32.3099999425,0.0,5,0,0.4,POINT (72.05 22.77),0.1827,0.1926,0.1899,0.186,33.60625052375,31.259999911666668,34.089999835,32.90428597571428,0.0,0.0,0.0,0.0,0.1827,0.0,0.186975,0.005057914590026165,0.2015125,0.028137186248806057,32.958125233125,0.9165875761188691,32.81656255322917,1.2812419153677888,32.34361243801069,2.0033182553311906,0.0,0.0,0.0,0.0,0.0,0.0,2010,2,129,0.49999999999999994,-0.8660254037844387,0.7961828637826158,-0.6050560696488488,5.90303698949475,0.0,0.0,0.0,0.0,0.0,0.0,-1.2962505812499998,-0.03857171094805478,0.0,0.0,0.0,0.0,0.0,0.4,0.4
2010-05-25,0.2356,33.41333347,0.0,5,0,0.4,POINT (72.05 22.77),0.1827,0.1827,0.1926,0.1899,32.3099999425,33.60625052375,31.259999911666668,34.089999835,0.0,0.0,0.0,0.0,0.20915,0.0374059487247685,0.1984,0.025235292746469174,0.1978875,0.019341697185097304,32.86166670625,0.7801746192057102,32.647395961979164,1.0870090786503739,33.031529140510685,0.9098300951345708,0.0,0.0,0.0,0.0,0.0,0.0,2010,2,145,0.49999999999999994,-0.8660254037844387,0.6016240632249226,-0.7987793728863649,7.872181365532,0.0,0.0,0.0,0.0,0.0529,0.2895457033388067,1.1033335274999985,0.034148360552879176,0.0,0.0,0.0,0.0,0.0,0.4,0.4
